NORAD ID,Signal,Frequency(MHz),Modulation,P(dBW),G(dBi)
36111,L2:L2OF(C/A),1246.4375,BPSK(0.5),10.0,10.0
36111,L2:L2SF(P),1246.4375,BPSK(5),10.0,10.0
36400,L1:L1OF(C/A),1600.3125,BPSK(0.5),10.0,10.0
36400,L1:L1SF(P),1600.3125,BPSK(5),10.0,10.0
36400,L2:L2OF(C/A),1244.6875,BPSK(0.5),10.0,10.0
36400,L2:L2SF(P),1244.6875,BPSK(5),10.0,10.0
36401,L1:L1OF(C/A),1603.125,BPSK(0.5),10.0,10.0
36401,L1:L1SF(P),1603.125,BPSK(5),10.0,10.0
36401,L2:L2OF(C/A),1246.875,BPSK(0.5),10.0,10.0
36401,L2:L2SF(P),1246.875,BPSK(5),10.0,10.0
36402,L1:L1OF(C/A),1603.6875,BPSK(0.5),10.0,10.0
36402,L1:L1SF(P),1603.6875,BPSK(5),10.0,10.0
36402,L2:L2OF(C/A),1247.3125,BPSK(0.5),10.0,10.0
36402,L2:L2SF(P),1247.3125,BPSK(5),10.0,10.0
37829,L1:L1OF(C/A),1605.375,BPSK(0.5),10.0,10.0
37829,L1:L1SF(P),1605.375,BPSK(5),10.0,10.0
37829,L2:L2OF(C/A),1248.625,BPSK(0.5),10.0,10.0
37829,L2:L2SF(P),1248.625,BPSK(5),10.0,10.0
37867,L1:L1OF(C/A),1604.8125,BPSK(0.5),10.0,10.0
37867,L1:L1SF(P),1604.8125,BPSK(5),10.0,10.0
37867,L2:L2OF(C/A),1248.1875,BPSK(0.5),10.0,10.0
37867,L2:L2SF(P),1248.1875,BPSK(5),10.0,10.0
39155,L1:L1OF(C/A),1599.75,BPSK(0.5),10.0,10.0
39155,L1:L1SF(P),1599.75,BPSK(5),10.0,10.0
39155,L2:L2OF(C/A),1244.25,BPSK(0.5),10.0,10.0
39155,L2:L2SF(P),1244.25,BPSK(5),10.0,10.0
42939,L1:L1OF(C/A),1598.0625,BPSK(0.5),10.0,10.0
42939,L1:L1SF(P),1598.0625,BPSK(5),10.0,10.0
42939,L2:L2OF(C/A),1242.9375,BPSK(0.5),10.0,10.0
42939,L2:L2SF(P),1242.9375,BPSK(5),10.0,10.0
42939,L3:L3OC,1202.025,BPSK(10),10.0,10.0
37846,E1:OS,1575.42,"MBOC(6,1,1/11)",10.0,10.0
37846,E1:PRS(A),1575.42,"BOCcos(15,2.5)",10.0,10.0
37846,E5:E5ab,1191.795,"AltBOC(15,10)",10.0,10.0
37846,E6:CS,1278.75,BPSK(5),16.0,15.0
37846,E6:PRS(A),1278.75,"BOCcos(10,5)",18.0,16.0
40545,E1:OS,1575.42,"MBOC(6,1,1/11)",10.0,10.0
40545,E1:PRS(A),1575.42,"BOCcos(15,2.5)",10.0,10.0
40545,E5:E5ab,1191.795,"AltBOC(15,10)",10.0,10.0
40545,E6:CS,1278.75,BPSK(5),16.0,15.0
40545,E6:PRS(A),1278.75,"BOCcos(10,5)",18.0,16.0
40890,E1:OS,1575.42,"MBOC(6,1,1/11)",10.0,10.0
40890,E1:PRS(A),1575.42,"BOCcos(15,2.5)",10.0,10.0
40890,E5:E5ab,1191.795,"AltBOC(15,10)",10.0,10.0
40890,E6:CS,1278.75,BPSK(5),16.0,15.0
40890,E6:PRS(A),1278.75,"BOCcos(10,5)",18.0,16.0
41175,E1:OS,1575.42,"MBOC(6,1,1/11)",10.0,10.0
41175,E1:PRS(A),1575.42,"BOCcos(15,2.5)",10.0,10.0
41175,E5:E5ab,1191.795,"AltBOC(15,10)",10.0,10.0
41175,E6:CS,1278.75,BPSK(5),16.0,15.0
41175,E6:PRS(A),1278.75,"BOCcos(10,5)",18.0,16.0
41549,E1:OS,1575.42,"MBOC(6,1,1/11)",10.0,10.0
41549,E1:PRS(A),1575.42,"BOCcos(15,2.5)",10.0,10.0
41549,E5:E5ab,1191.795,"AltBOC(15,10)",10.0,10.0
41549,E6:CS,1278.75,BPSK(5),16.0,15.0
41549,E6:PRS(A),1278.75,"BOCcos(10,5)",18.0,16.0
41859,E1:OS,1575.42,"MBOC(6,1,1/11)",10.0,10.0
41859,E1:PRS(A),1575.42,"BOCcos(15,2.5)",10.0,10.0
41859,E5:E5ab,1191.795,"AltBOC(15,10)",10.0,10.0
41859,E6:CS,1278.75,BPSK(5),16.0,15.0
41859,E6:PRS(A),1278.75,"BOCcos(10,5)",18.0,16.0
41860,E1:OS,1575.42,"MBOC(6,1,1/11)",10.0,10.0
41860,E1:PRS(A),1575.42,"BOCcos(15,2.5)",10.0,10.0
41860,E5:E5ab,1191.795,"AltBOC(15,10)",10.0,10.0
41860,E6:CS,1278.75,BPSK(5),16.0,15.0
41860,E6:PRS(A),1278.75,"BOCcos(10,5)",18.0,16.0
41862,E1:OS,1575.42,"MBOC(6,1,1/11)",10.0,10.0
41862,E1:PRS(A),1575.42,"BOCcos(15,2.5)",10.0,10.0
41862,E5:E5ab,1191.795,"AltBOC(15,10)",10.0,10.0
41862,E6:CS,1278.75,BPSK(5),16.0,15.0
41862,E6:PRS(A),1278.75,"BOCcos(10,5)",18.0,16.0
43056,E1:OS,1575.42,"MBOC(6,1,1/11)",10.0,10.0
43056,E1:PRS(A),1575.42,"BOCcos(15,2.5)",10.0,10.0
43056,E5:E5ab,1191.795,"AltBOC(15,10)",10.0,10.0
43056,E6:CS,1278.75,BPSK(5),16.0,15.0
43056,E6:PRS(A),1278.75,"BOCcos(10,5)",18.0,16.0
43566,E1:OS,1575.42,"MBOC(6,1,1/11)",10.0,10.0
43566,E1:PRS(A),1575.42,"BOCcos(15,2.5)",10.0,10.0
