NORAD ID,Name 1562857793,Name 1556138397,Name 1554156377,Name 1553966342,Name 1551055211,Satellite,Constellation,Generation,Observations
43055,GSAT0215-(PRN-E21),GSAT0215-(PRN-E21),GSAT0215-(PRN-E21),GSAT0215-(PRN-E21),GSAT0215-(PRN-E21),GSAT0215,GALILEO,FOC,12/12/2017 - 
43056,GSAT0216-(PRN-E25),GSAT0216-(PRN-E25),GSAT0216-(PRN-E25),GSAT0216-(PRN-E25),GSAT0216-(PRN-E25),GSAT0216,GALILEO,FOC,12/12/2017 - 
43057,GSAT0217-(PRN-E27),GSAT0217-(PRN-E27),GSAT0217-(PRN-E27),GSAT0217-(PRN-E27),GSAT0217-(PRN-E27),GSAT0217,GALILEO,FOC,12/12/2017 - 
43058,GSAT0218-(PRN-E31),GSAT0218-(PRN-E31),GSAT0218-(PRN-E31),GSAT0218-(PRN-E31),GSAT0218-(PRN-E31),GSAT0218,GALILEO,FOC,12/12/2017 - 
43564,GSAT0221-(PRN-E15),GSAT0221-(PRN-E15),GSAT0221-(PRN-E15),GSAT0221-(PRN-E15),GSAT0221-(PRN-E15),GSAT0221,GALILEO,FOC,25/07/2018 - 
43565,GSAT0222-(PRN-E33),GSAT0222-(PRN-E33),GSAT0222-(PRN-E33),GSAT0222-(PRN-E33),GSAT0222-(PRN-E33),GSAT0222,GALILEO,FOC,25/07/2018 - 
43566,GSAT0219-(PRN-E36),GSAT0219-(PRN-E36),GSAT0219-(PRN-E36),GSAT0219-(PRN-E36),GSAT0219-(PRN-E36),GSAT0219,GALILEO,FOC,25/07/2018 - 
43567,GSAT0220-(PRN-E13),GSAT0220-(PRN-E13),GSAT0220-(PRN-E13),GSAT0220-(PRN-E13),GSAT0220-(PRN-E13),GSAT0220,GALILEO,FOC,25/07/2018 - 
49809,,,,,,GSAT0223,GALILEO,FOC,5/12/2021 - 
49810,,,,,,GSAT0224,GALILEO,FOC,5/12/2021 - 
59598,,,,,,GSAT0225,GALILEO,FOC,28/04/2024 - 
59600,,,,,,GSAT0226,GALILEO,FOC,28/04/2024 - 
61182,,,,,,GSAT0227,GALILEO,FOC,17/09/2024 - 
61183,,,,,,GSAT0228,GALILEO,FOC,17/09/2024 - 
67160,,,,,,GSAT0229,GALILEO,FOC,17/12/2025 - 
67162,,,,,,GSAT0230,GALILEO,FOC,17/12/2025 - (under commisioning)
31115,,,,,,BEIDOU-2 M1,BEIDOU,BDS-2,13/04/2007 - 2017
34779,,,,,,BEIDOU-2 G2,BEIDOU,BDS-2,14/04/2009 - 01/2022 (but inactive for years before)
36287,BEIDOU-3-(C01),BEIDOU-3,BEIDOU-G1,BEIDOU-G1,BEIDOU-G1,BEIDOU-2 G1,BEIDOU,BDS-2,16/01/2010 - 31/03/2020
36590,,BEIDOU-4,BEIDOU-G3,BEIDOU-G3,BEIDOU-G3,BEIDOU-2 G3,BEIDOU,BDS-2,2/06/2010 - 29/09/2018
