Satellite,NORAD ID,Constellation,Generation,Observations
GSAT0220,43565,GALILEO,FOC,25/07/2018 - 
GSAT0221,43566,GALILEO,FOC,25/07/2018 - 
GSAT0222,43567,GALILEO,FOC,25/07/2018 - 
GSAT0223,49809,GALILEO,FOC,5/12/2021 - 
GSAT0224,49810,GALILEO,FOC,5/12/2021 - 
GSAT0225,59598,GALILEO,FOC,28/04/2024 - 
GSAT0226,59600,GALILEO,FOC,28/04/2024 - 
GSAT0227,61182,GALILEO,FOC,17/09/2024 - 
GSAT0228,61183,GALILEO,FOC,17/09/2024 - 
GSAT0229,67160,GALILEO,FOC,17/12/2025 - 
GSAT0230,67162,GALILEO,FOC,17/12/2025 - (under commisioning)
BEIDOU-2 M1,31115,BEIDOU,BDS-2,13/04/2007 - 2017
BEIDOU-2 G2,34779,BEIDOU,BDS-2,14/04/2009 - 01/2022 (but inactive for years before)
BEIDOU-2 G1,36287,BEIDOU,BDS-2,16/01/2010 - 31/03/2020
BEIDOU-2 G3,36590,BEIDOU,BDS-2,2/06/2010 - 29/09/2018
BEIDOU-2 IGSO-1,36828,BEIDOU,BDS-2,31/08/2010 - 
BEIDOU-2 G4,37210,BEIDOU,BDS-2,31/10/2010 - 
BEIDOU-2 IGSO-2,37256,BEIDOU,BDS-2,17/12/2010 - 
BEIDOU-2 IGSO-3,37384,BEIDOU,BDS-2,9/04/2011 - 
BEIDOU-2 IGSO-4,37763,BEIDOU,BDS-2,26/07/2011 - 
BEIDOU-2 IGSO-5,37948,BEIDOU,BDS-2,1/12/2011 - 
BEIDOU-2 G5,38091,BEIDOU,BDS-2,24/02/2012 - 
BEIDOU-2 M3,38250,BEIDOU,BDS-2,29/04/2012 - 
BEIDOU-2 M4,38251,BEIDOU,BDS-2,29/04/2012 - 
BEIDOU-2 M5,38774,BEIDOU,BDS-2,18/09/2012 - 21/10/2014
BEIDOU-2 M6,38775,BEIDOU,BDS-2,18/09/2012 - 
BEIDOU-2 G6,38953,BEIDOU,BDS-2,25/10/2012 - 
BEIDOU-2 IGSO-6,41434,BEIDOU,BDS-2,29/03/2016 - 
BEIDOU-2 G7,41586,BEIDOU,BDS-2,12/07/2016 - 
BEIDOU-2 IGSO-7,43539,BEIDOU,BDS-2,9/07/2018 - 
BEIDOU-2 G8,44231,BEIDOU,BDS-2,17/05/2019 - 
BEIDOU-3S IGSO-1S,40549,BEIDOU,BDS-3,30/03/2015 - (experimental but active)
BEIDOU-3S M1S,40748,BEIDOU,BDS-3,25/07/2015 - (experimental but active)
BEIDOU-3S M2S,40749,BEIDOU,BDS-3,25/07/2015 - (experimental but active)
BEIDOU-3S IGSO-2S,40938,BEIDOU,BDS-3,29/09/2015 - (experimental but active)
BEIDOU-3S M3S,41315,BEIDOU,BDS-3,1/02/2016 - (probably became inactive early in its life)
BEIDOU-3 M1,43001,BEIDOU,BDS-3,5/11/2017 - 
BEIDOU-3 M2,43002,BEIDOU,BDS-3,5/11/2017 - 
BEIDOU-3 M3,43107,BEIDOU,BDS-3,11/01/2018 - 
BEIDOU-3 M4,43108,BEIDOU,BDS-3,11/01/2018 - 
BEIDOU-3 M5,43207,BEIDOU,BDS-3,12/02/2018 - 
BEIDOU-3 M6,43208,BEIDOU,BDS-3,12/02/2018 - 
BEIDOU-3 M7,43245,BEIDOU,BDS-3,29/03/2018 - 
BEIDOU-3 M8,43246,BEIDOU,BDS-3,29/03/2018 - 
BEIDOU-3 M9,43581,BEIDOU,BDS-3,29/07/2018 - 
BEIDOU-3 M10,43582,BEIDOU,BDS-3,29/07/2018 - 
BEIDOU-3 M11,43602,BEIDOU,BDS-3,24/08/2018 - 
BEIDOU-3 M12,43603,BEIDOU,BDS-3,24/08/2018 - 
BEIDOU-3 M13,43622,BEIDOU,BDS-3,19/09/2018 - 
BEIDOU-3 M14,43623,BEIDOU,BDS-3,19/09/2018 - 
BEIDOU-3 M15,43647,BEIDOU,BDS-3,15/10/2018 - 
BEIDOU-3 M16,43648,BEIDOU,BDS-3,15/10/2018 - 
BEIDOU-3 M17,43706,BEIDOU,BDS-3,18/11/2018 - 
BEIDOU-3 M18,43707,BEIDOU,BDS-3,18/11/2018 - 
BEIDOU-3 IGSO-1,44204,BEIDOU,BDS-3,20/04/2019 - 
BEIDOU-3 IGSO-2,44337,BEIDOU,BDS-3,24/07/2019 - 
BEIDOU-3 M23,44542,BEIDOU,BDS-3,22/09/2019 - 
BEIDOU-3 M24,44543,BEIDOU,BDS-3,22/09/2019 - 
BEIDOU-3 IGSO-3,44709,BEIDOU,BDS-3,4/11/2019 - 
BEIDOU-3 M21,44793,BEIDOU,BDS-3,23/11/2019 - 
BEIDOU-3 M22,44794,BEIDOU,BDS-3,23/11/2019 - 
BEIDOU-3 M19,44864,BEIDOU,BDS-3,16/12/2019 - 
BEIDOU-3 M20,44865,BEIDOU,BDS-3,16/12/2019 - 
BEIDOU-3 M28,58654,BEIDOU,BDS-3,26/12/2023 - 
BEIDOU-3 M26,58655,BEIDOU,BDS-3,26/12/2023 - 
BEIDOU-3 M25,61186,BEIDOU,BDS-3,19/09/2024 - 
BEIDOU-3 M27,61187,BEIDOU,BDS-3,19/09/2024 - 
BEIDOU-3 G1,43683,BEIDOU,BDS-3(GEO),1/11/2018 - 
BEIDOU-3 G2,45344,BEIDOU,BDS-3(GEO),9/03/2020 - 
BEIDOU-3 G3,45807,BEIDOU,BDS-3(GEO),23/07/2020 - 
BEIDOU-3 G4,56564,BEIDOU,BDS-3(GEO),17/05/2023 - 
QZS-1,37158,QZSS,I,11/10/2010 - 15/10/2023 (L1S and L6 were called L1-SAIF and LEX)
QZS-2,42738,QZSS,II,1/06/2017 - 
QZS-3,42917,QZSS,II,19/08/2017 - 
QZS-4,42965,QZSS,II,10/10/2017 - 
QZS-1R,49336,QZSS,II,27/10/2021 - 
QZS-6,62876,QZSS,II,2/02/2025 - 
IRNSS-1A,39199,IRNSS,IRNSS-1,1/07/2013 - (partial failure in 2017 but kept sending signals)
IRNSS-1B,39635,IRNSS,IRNSS-1,4/04/2014 - 
IRNSS-1C,40269,IRNSS,IRNSS-1,16/10/2014 - (partial failure around 2020s)
IRNSS-1D,40547,IRNSS,IRNSS-1,28/03/2015 - 2025
IRNSS-1E,41241,IRNSS,IRNSS-1,20/01/2016 - (partial failure around 2020s)
IRNSS-1F,41384,IRNSS,IRNSS-1,10/03/2016 - (partial failure in 2026)
IRNSS-1G,41469,IRNSS,IRNSS-1,28/04/2016 - (partial failure around 2020s)
IRNSS-1I,43286,IRNSS,IRNSS-1,12/04/2018 - 
NVS-01,56759,IRNSS,NVS,29/05/2023 - 
NVS-02,62850,IRNSS,NVS,29/01/2025 - (highly irregular orbit)
EGNOS: Inmarsat-3 F2,24307,SBAS,I,2006 - 1/01/2019
MSAS: MTSAT-1R,28622,SBAS,I,28/06/2005 - 12/2015
EGNOS: Inmarsat-4 F2,28899,SBAS,I,2015 - 
MSAS: MTSAT-2,28937,SBAS,I,1/07/2010 - 03/2020
WAAS: Inmarsat-4 F3,33278,SBAS,I,11/2010 - 9/11/2017
SDCM: Luch-5A,37951,SBAS,I,11/12/2011 - (unused)
SDCM: Luch-5B,38977,SBAS,I,3/11/2012 - 
SDCM: Luch-5V,39727,SBAS,I,28/04/2014 - 
WAAS: Anik F1R,28868,SBAS,II,07/2007 - 17/05/2022
WAAS: Galaxy 15,28884,SBAS,II,11/2006 - 25/07/2019
GAGAN: GSAT-8,37605,SBAS,II,2013 - 
EGNOS: SES-5,38652,SBAS,II,2015 - 
GAGAN: GSAT-10,38779,SBAS,II,2015 - 
EGNOS: Astra 5B,39617,SBAS,II,2015 - 5/09/2025
GAGAN: GSAT-15,41028,SBAS,II,2016 - 
WAAS: Eutelsat 117W B,41589,SBAS,II,03/2018 - 
WAAS: SES-15,42709,SBAS,II,15/07/2019 - 
EGNOS: Eutelsat 5 West B,44624,SBAS,II,14/02/2020 - 
WAAS: Galaxy 30,46114,SBAS,II,26/04/2022 - 
