NORAD ID,Signal,Frequency(MHz),Modulation,P(dBW),G(dBi)
41174,E5ab:PRS(A),1191.795,"AltBOC(15,10)",10.0,10.0
41174,E5a:E5a-D,1176.45,"AltBOC(15,10)",6.0,6.0
41860,E1:OS-D(B),1575.42,"CBOC(6,1,1/11)",10.0,10.0
41860,E6:CS-P(C),1278.75,BPSK(5),16.0,15.0
41860,E6:PRS(A),1278.75,"BOCcos(10,5)",18.0,16.0
41860,E5ab:PRS(A),1191.795,"AltBOC(15,10)",10.0,10.0
41860,E5a:E5a-D,1176.45,"AltBOC(15,10)",6.0,6.0
41861,E1:OS-D(B),1575.42,"CBOC(6,1,1/11)",10.0,10.0
41861,E6:CS-P(C),1278.75,BPSK(5),16.0,15.0
41861,E6:PRS(A),1278.75,"BOCcos(10,5)",18.0,16.0
41861,E5ab:PRS(A),1191.795,"AltBOC(15,10)",10.0,10.0
41861,E5a:E5a-D,1176.45,"AltBOC(15,10)",6.0,6.0
41862,E1:OS-D(B),1575.42,"CBOC(6,1,1/11)",10.0,10.0
41862,E6:CS-P(C),1278.75,BPSK(5),16.0,15.0
41862,E6:PRS(A),1278.75,"BOCcos(10,5)",18.0,16.0
41862,E5ab:PRS(A),1191.795,"AltBOC(15,10)",10.0,10.0
41862,E5a:E5a-D,1176.45,"AltBOC(15,10)",6.0,6.0
43056,E1:OS-D(B),1575.42,"CBOC(6,1,1/11)",10.0,10.0
43056,E6:CS-P(C),1278.75,BPSK(5),16.0,15.0
43056,E6:PRS(A),1278.75,"BOCcos(10,5)",18.0,16.0
43056,E5ab:PRS(A),1191.795,"AltBOC(15,10)",10.0,10.0
43056,E5a:E5a-D,1176.45,"AltBOC(15,10)",6.0,6.0
43058,E1:OS-D(B),1575.42,"CBOC(6,1,1/11)",10.0,10.0
43058,E6:CS-P(C),1278.75,BPSK(5),16.0,15.0
43058,E6:PRS(A),1278.75,"BOCcos(10,5)",18.0,16.0
43058,E5ab:PRS(A),1191.795,"AltBOC(15,10)",10.0,10.0
43058,E5a:E5a-D,1176.45,"AltBOC(15,10)",6.0,6.0
43565,E1:OS-D(B),1575.42,"CBOC(6,1,1/11)",10.0,10.0
43565,E6:CS-P(C),1278.75,BPSK(5),16.0,15.0
43565,E6:PRS(A),1278.75,"BOCcos(10,5)",18.0,16.0
43565,E5ab:PRS(A),1191.795,"AltBOC(15,10)",10.0,10.0
43565,E5a:E5a-D,1176.45,"AltBOC(15,10)",6.0,6.0
36590,B1-2:RS,1561.098,BPSK(2),10.0,10.0
36590,B3:RS,1268.52,BPSK(10),16.0,16.0
36590,B2b:OS,1207.14,BPSK(2),14.0,12.0
36590,B2b:RS,1207.14,BPSK(10),18.0,18.0
36590,B1-2:OS,1561.098,BPSK(2),10.0,10.0
36590,B1:B1C-Dl,1575.42,"TMBOC(6,1,4/33)",10.0,10.0
36590,B3:B3C-Dm,1268.52,BPSK(10),15.0,13.5
36590,B3:B3A-Dm,1268.52,"BOC(15,2.5)",10.0,10.0
38091,B1-2:RS,1561.098,BPSK(2),10.0,10.0
38091,B3:RS,1268.52,BPSK(10),16.0,16.0
38091,B2b:OS,1207.14,BPSK(2),14.0,12.0
38091,B2b:RS,1207.14,BPSK(10),18.0,18.0
38091,B1-2:OS,1561.098,BPSK(2),10.0,10.0
38091,B1:B1C-Dl,1575.42,"TMBOC(6,1,4/33)",10.0,10.0
